Name,Average_User_Rating,User_Rating_Count,Price,Age_Rating,Primary_Genre,Specific_Genre,Size,Original_Release_Year
Park Star Lite,3,705,0,4+,Games,Simulation,7696478,2010
ALERT! Finger Button Fun (FREE),3,3813,0,4+,Entertainment,Games,2517539,2010
TowerMadness HD,4.5,18279,4.99,9+,Games,Action,65495040,2010
Square-Off - An Educational Game from School Zone,3,136,0,4+,Games,Entertainment,46461952,2010
Empire Ascendant Lite,3,156,0,9+,Games,Entertainment,5767777,2010
Frosting Free,3,37299,0,4+,Games,Role,14755916,2010
Land Air Sea Warfare,4,978,0.99,12+,Games,Strategy,154198016,2010
Crank It! - Letters - Brain Teaser,3,39,0.99,4+,Games,Puzzle,2984960,2010
Crank It! - Numbers - Brain Teaser,2,35,0.99,4+,Games,Strategy,2849792,2010
"""Ada's Fashion Show""",3.5,449,0,4+,Games,Entertainment,20720901,2010
Tactica - Turn Based Strategy,3.5,113,0.99,9+,Games,Board,44390400,2010
Backgammon NJ HD,4,5326,7.99,4+,Games,Board,48809984,2010
Tate Trumps,2.5,26,0,4+,Games,Entertainment,19681763,2010
Sudoku Colors HD,3,9,0,4+,Games,Entertainment,12778912,2010
Slice the Ice - Physics Game,NA,NA,0,4+,Games,Strategy,257070080,2017
Hero Wars : Free,4,1158,0,4+,Games,Strategy,21807104,2010
Blood & Honor No Ads,4,3447,4.99,12+,Games,Board,208099328,2010
Kakinoki Shogi for iPad,3,11,5.99,4+,Games,Board,23780352,2010
G.Blacksmith.Color Lite,3.5,119,0,4+,Games,Strategy,20304207,2010
Agent-X free,NA,NA,0,4+,Games,Strategy,25155584,2017
Magic Alchemist,5,19,1.99,4+,Games,Puzzle,129360896,2010
Fantastic Checkers Go,3.5,769,0,4+,Games,Board,28652544,2010
Igowin Pro,4,23,4.99,4+,Games,Board,25844736,2010
Galactic Empires: Age of Battle,3,1782,0,4+,Games,Role,165506048,2010
Trainwreck,NA,NA,0,4+,Games,Strategy,502263808,2016
Simply Gomoku HD,3.5,552,0,4+,Games,Strategy,6614449,2010
Keno Pad,4.5,32,5.99,12+,Games,Casino,5702656,2010
